"team","off_coeff","def_coeff","yusag_coeff"
"A&M-Corpus Chris",-1.3196007465495,0.144624277277026,-1.46422502382547
"Abilene Christian",-8.16188030827935,2.26228660800446,-10.4241669162838
"Air Force",-1.24909291102539,2.36192724164626,-3.61102015267162
"Akron",2.60757930254631,-1.6649399117382,4.27251921428453
"Alabama",-1.24162562044745,-12.0464222121524,10.8047965917048
"Alabama A&M",-14.2428844130582,9.54465970250053,-23.7875441155589
"Alabama St.",-10.1130871034425,7.11776789788501,-17.2308550013275
"Albany (NY)",-2.84247609131753,-4.21036061144492,1.36788452012743
"Alcorn",-7.91642007080986,1.60995283390491,-9.52637290471472
"American",-10.9779161410703,-1.65902576625512,-9.31889037481516
"Appalachian St.",-2.02337709625232,5.64789007011069,-7.67126716636309
"Arizona",7.5164934227486,-10.1037604238429,17.6202538465916
"Arizona St.",7.85902886829339,4.64674363142429,3.21228523686912
"Ark.-Pine Bluff",-15.588503569097,4.81305384140613,-20.4015574105032
"Arkansas",10.1827189231309,-3.25020608828436,13.4329250114152
"Arkansas St.",-0.51752797809155,-2.18217823517619,1.66465025708464
"Army West Point",-0.889821687264505,4.33018889853445,-5.22001058579897
"Auburn",11.9949507463385,4.53371106759504,7.46123967874339
"Austin Peay",2.30315138349664,11.8552444465119,-9.55209306301525
"Ball St.",3.31576697496824,3.81660807073108,-0.500841095762874
"Baylor",4.43699478113882,-14.1247782760192,18.561773057158
"Belmont",3.79861569278742,-1.8873573957144,5.68597308850184
"Bethune-Cookman",-7.09951342094897,10.272163445268,-17.3716768662169
"Binghamton",-9.34018409790279,1.09411690779592,-10.4343010056988
"Boise St.",4.28221251881885,-1.32988500409225,5.61209752291114
"Boston College",2.8584921240731,1.5282133481073,1.33027877596582
"Boston U.",-0.0494332151600616,1.5349576184448,-1.58439083360486
"Bowling Green",-1.09764131064666,4.21643374686481,-5.3140750575115
"Bradley",-5.37747677809704,-2.76338877703913,-2.61408800105786
"Brown",1.91885322033954,9.65369182421389,-7.73483860387438
"Bryant",0.217787760140909,8.56544226200717,-8.34765450186628
"Bucknell",4.87628091299172,-2.17021695331156,7.0464978663033
"Buffalo",3.20560035422795,1.03616149079814,2.16943886342986
"Butler",7.97568394213166,-8.33771920661357,16.3134031487453
"BYU",10.5126195266102,3.30511059009178,7.2075089365185
"Cal Poly",-6.30873757693121,3.14892018915336,-9.45765776608462
"Cal St. Fullerton",-3.70207319162902,2.59247689351535,-6.29455008514439
"California",-1.03654326558025,-11.1407198876226,10.1041766220423
"Campbell",-6.61239128172838,1.41213193354882,-8.02452321527718
"Canisius",4.13921879846761,5.38781640807516,-1.24859760960754
"Central Ark.",1.70049915927039,13.2912708250223,-11.5907716657519
"Central Conn. St.",-12.2806660601499,3.82015733855105,-16.1008233987009
"Central Mich.",13.0188304089308,18.157576717918,-5.13874630898722
"Charleston So.",-2.19221623753998,8.57144264737311,-10.7636588849131
"Charlotte",2.55929158454108,7.85084619273202,-5.29155460819092
"Chattanooga",-2.48193807246599,-4.23534776910649,1.75340969664046
"Chicago St.",-9.96410444351167,5.28333933894171,-15.2474437824535
"Cincinnati",4.09938073856921,-13.3180326836759,17.4174134222451
"Clemson",5.74640328767939,-6.01177873316618,11.7581820208455
"Cleveland St.",-8.45077093423736,-2.97019775147454,-5.48057318276285
"Coastal Caro.",-1.81495951451151,1.5069416324423,-3.32190114695376
"Col. of Charleston",-3.00860985007542,-8.05388777725786,5.04527792718237
"Colgate",-6.69485484121264,-0.0841748264575267,-6.6106800147552
"Colorado",5.94299756857872,-2.33768712038044,8.28068468895917
"Colorado St.",0.897819575399761,-4.94680126428511,5.84462083968487
"Columbia",-1.55863274119637,2.77987390656159,-4.33850664775797
"Coppin St.",-9.83252165696787,9.32595691031873,-19.1584785672867
"Cornell",-2.10027349212954,4.49282721707587,-6.59310070920536
"Creighton",11.6436892405752,-4.23085890932153,15.8745481498968
"CSU Bakersfield",-3.47331450471045,-8.20750066152714,4.73418615681663
"CSUN",3.46039207964126,11.2062261140869,-7.7458340344456
"Dartmouth",-5.24681725073421,4.06116928693291,-9.30798653766713
"Davidson",3.55738878174158,-2.58232668013728,6.13971546187887
"Dayton",5.55265925569169,-6.74272046077887,12.2953797164706
"Delaware",-8.78918396578269,-0.028075769408959,-8.76110819637377
"Delaware St.",-10.7856885329774,5.88008230313261,-16.6657708361101
"Denver",0.0241945823022665,1.43590908750784,-1.41171450520556
"DePaul",-0.750750363973937,-1.67435809720431,0.923607733230388
"Detroit Mercy",2.94342109845504,12.2209602427268,-9.27753914427184
"Drake",1.35372708653405,6.26095729828912,-4.90723021175502
"Drexel",1.39272947835866,7.04024196325622,-5.64751248489755
"Duke",12.7461679838668,-7.27773595427166,20.0239039381385
"Duquesne",-0.502006011479358,2.95671413417612,-3.45872014565547
"East Carolina",-6.86903232289064,-6.31134939116443,-0.55768293172635
"Eastern Ill.",-1.78868535430246,2.56710870679474,-4.35579406109723
"Eastern Ky.",-4.99699816431648,2.58623433093585,-7.58323249525229
"Eastern Mich.",0.371267671848125,-0.24195464796044,0.61322231980851
"Eastern Wash.",3.48280126339249,4.70851303397868,-1.22571177058619
"Elon",0.447908231383973,-1.33302811472364,1.78093634610762
"ETSU",4.79318210955876,-3.1320389928808,7.92522110243953
"Evansville",-1.21821222795279,-2.19719483871405,0.978982610761245
"Fairfield",-3.112219014167,0.307780707967959,-3.41999972213492
"Fairleigh Dickinson",-1.11926788048757,6.45799605130981,-7.57726393179738
"FGCU",0.48245385833011,-2.59803200036519,3.08048585869532
"FIU",-3.57122186262144,3.41109315747015,-6.98231502009158
"Fla. Atlantic",-3.54663414936396,3.98629853974627,-7.53293268911025
"Florida",11.6972326513752,-10.6186111380885,22.3158437894637
"Florida A&M",-7.59797133289498,11.3372365430713,-18.9352078759662
"Florida St.",12.4825769308159,-5.05339213868306,17.5359690694991
"Fordham",-8.22234669483839,-6.1679259664439,-2.05442072839447
"Fort Wayne",7.58303676172023,6.25079598459814,1.33224077712209
"Fresno St.",1.71051302973262,-3.52574394271794,5.23625697245056
"Furman",-1.21742313895766,-4.76828920967679,3.55086607071911
"Ga. Southern",-0.225235375662394,2.00769277049163,-2.23292814615402
"Gardner-Webb",1.90047998684269,3.08494608195949,-1.18446609511689
"George Mason",3.60427632321283,0.60766741043458,2.99660891277824
"George Washington",-0.873647964608678,-3.22603183646334,2.35238387185465
"Georgetown",4.52465812371072,-5.4267786996775,9.95143682338821
"Georgia",2.58808240232781,-7.81502674319476,10.4031091455226
"Georgia St.",-0.656053918434274,-1.45490616949683,0.798852251062528
"Georgia Tech",-3.00094146044051,-10.3284968706768,7.32755541023628
"Gonzaga",12.8380286248222,-11.9834466823254,24.8214753071478
"Grambling",-7.9959303221442,6.48934929330827,-14.4852796154524
"Grand Canyon",-2.0943870364441,-2.7352050268776,0.640817990433374
"Green Bay",4.20461963543399,5.44147769277718,-1.23685805734319
"Hampton",-8.42512179599501,2.81873480291225,-11.2438565989073
"Hartford",-8.03541704376581,6.34297654461652,-14.3783935883822
"Harvard",-0.334894017457479,-3.9226499216008,3.58775590414336
"Hawaii",-6.17475017182239,0.103996343201335,-6.27874651502378
"High Point",-6.13069410840847,1.55802184515306,-7.68871595356156
"Hofstra",4.00804993474685,4.72187141642711,-0.713821481680293
"Holy Cross",-12.4830746360587,-8.67341661262643,-3.80965802343226
"Houston",3.5054880526842,-7.40906977176283,10.914557824447
"Houston Baptist",1.15474399841077,6.72690828117626,-5.57216428276545
"Howard",-12.1369384181453,3.2270644645888,-15.364002882734
"Idaho",-3.16000326966757,0.392070177498531,-3.55207344716609
"Idaho St.",-5.13544047258552,8.41850899474449,-13.55394946733
"Ill.-Chicago",0.923444955978811,6.34548714314052,-5.42204218716177
"Illinois",0.772701247790499,-8.79778008680725,9.57048133459775
"Illinois St.",-1.74281542575112,-11.7490517287301,10.0062363029791
"Incarnate Word",-0.310461370696484,10.8702847107577,-11.1807460814541
"Indiana",10.5109470177863,-2.67318060099597,13.1841276187823
"Indiana St.",-0.60651700280192,0.852028866870902,-1.45854586967282
"Iona",7.19198380866728,4.79831792716908,2.39366588149818
"Iowa",11.1112243972689,1.99191070946279,9.11931368780612
"Iowa St.",12.763625557462,-6.87908424407886,19.6427098015409
"IUPUI",2.52641649512743,5.31531352371893,-2.78889702859147
"Jackson St.",-13.0074282995553,0.171355594721783,-13.178783894277
"Jacksonville",-3.10047221811731,5.34822111567817,-8.44869333379551
"Jacksonville St.",-4.84831427681987,-4.17495362705518,-0.673360649764702
"James Madison",-8.24473164222034,-4.61521108677516,-3.6295205554452
"Kansas",16.233405006219,-6.48847205955165,22.7218770657707
"Kansas St.",4.15946595259305,-9.86503903012264,14.0245049827157
"Kennesaw St.",-1.56865991634007,4.37264519258548,-5.94130510892554
"Kent St.",1.578709946132,0.161002044439661,1.41770790169235
"Kentucky",16.1131351953377,-6.54868140755045,22.6618166028882
"La Salle",4.78111381866052,3.4305765628701,1.35053725579044
"La.-Monroe",-7.10374532908232,-0.717740376977025,-6.38600495210528
"Lafayette",-6.1617665182354,7.33151832326421,-13.4932848414997
"Lamar University",-1.62068931944372,3.80248228017576,-5.42317159961945
"Lehigh",3.36730832912127,0.660158332785628,2.70714999633563
"Liberty",-9.76961779658355,-5.65897063193164,-4.11064716465195
"Lipscomb",8.38581575292515,7.67787466144831,0.707941091476897
"Little Rock",-9.48554038984699,-4.23091068935445,-5.25462970049253
"LIU Brooklyn",-4.68536921797247,1.56199993997601,-6.24736915794849
"Long Beach St.",2.42992135895658,6.99649200746497,-4.56657064850836
"Longwood",-8.00999295904308,11.5662746010643,-19.5762675601074
"Louisiana",7.97954936163105,7.69881956145185,0.280729800179257
"Louisiana Tech",2.56912093280318,-2.94636384240134,5.51548477520449
"Louisville",10.1002928798055,-10.9421552377564,21.0424481175619
"Loyola Chicago",1.030782100725,-3.88355737620875,4.9143394769337
"Loyola Maryland",-7.05095733550593,-2.31517896915472,-4.73577836635121
"Loyola Marymount",-2.55734313280583,-1.61081915651137,-0.946523976294475
"LSU",6.94075321016401,7.57084471129738,-0.630091501133379
"Maine",-10.6219564523609,4.56207006144903,-15.1840265138098
"Manhattan",-4.51136609884002,4.02114856832968,-8.5325146671696
"Marist",-4.66903318454222,6.05433198105405,-10.7233651655962
"Marquette",13.8627174016718,-0.091548370861174,13.954265772533
"Marshall",14.9116515463715,14.3742534241462,0.537398122225318
"Maryland",5.57515035426293,-6.45874660836618,12.0338969626291
