team,departing_ppg,returning_ppg,mins,off_coeff,def_coeff,yusag_coeff,stars_5,stars_4,stars_3,num_star_players,avg_recruit_score,composite_score
A&M-Corpus Christi,0.836889252,0.836889252,0.672,-3.9432338260785,1.36125670452391,-2.58197712155458,NA,NA,NA,NA,NA,NA
Abilene Christian,3.757189274,3.757189274,0.37799999999999995,-2.24456315140515,-1.24372350452153,-3.48828665592669,NA,NA,NA,NA,NA,NA
Air Force,5.146731019,5.146731019,0.698,-6.21541856816799,1.56008774498615,-4.65533082318189,0,0,0,0,0,NA
Akron,10.92419836,10.92419836,0.27399999999999997,-1.88319530297421,4.84794633050528,2.96475102753107,NA,NA,NA,NA,NA,NA
Alabama,9.1943748,9.1943748,0.521,21.1857508246746,-2.05297269194388,19.1327781327308,2,2,0,4,98.95,NA
Alabama A&M,1.108036727,1.108036727,0.287,-6.40020212058316,-5.30253040719074,-11.7027325277739,NA,NA,NA,NA,NA,NA
Alabama St.,-0.966461778,-0.966461778,0.562,-9.23005325432555,-0.665086590109619,-9.89513984443527,NA,NA,NA,NA,NA,NA
UAlbany,6.714206129,6.714206129,0.28300000000000003,4.95196004840601,-9.61339317953203,-4.66143313112597,NA,NA,NA,NA,NA,NA
Alcorn,8.851747453,8.851747453,0.28300000000000003,-2.50063174310041,-6.49781330901499,-8.99844505211547,NA,NA,NA,NA,NA,NA
American,0.847307026,0.847307026,0.8140000000000001,-7.05071367227916,-0.119584711112299,-7.17029838339143,0,0,0,0,0,NA
App State,8.512114555,8.512114555,0.229,2.10025972706921,4.93748624413861,7.03774597120782,NA,NA,NA,NA,NA,NA
Arizona,12.4954443,12.4954443,0.424,17.981043781903,5.06933609868129,23.0503798805845,1,1,0,2,97.82,NA
Arizona St.,5.554400444,5.554400444,0.218,0.0946135270736996,3.19924417436199,3.29385770143569,2,1,0,3,98.62,NA
Ark.-Pine Bluff,7.881522328,7.881522328,0.102,0.656645407358238,-13.8130866897701,-13.1564412824119,NA,NA,NA,NA,NA,NA
Arkansas,9.586257592,9.586257592,0.124,6.96339099274193,-2.30022516027232,4.66316583246955,3,0,1,4,97.03,NA
Arkansas St.,4.743794918,4.743794918,0.6709999999999999,5.24738326769421,-3.68343334604318,1.56394992165106,0,1,2,3,90.51,NA
Army West Point,0.719848,0.719848,0.6559999999999999,-14.7683542438492,1.78444332834706,-12.983910915502,NA,NA,NA,NA,NA,NA
Auburn,8.250583649,8.250583649,0.5670000000000001,13.2936903883211,8.61770805635209,21.9113984446732,1,1,0,2,98.22,NA
Austin Peay,11.26562595,11.26562595,0.231,-0.787831494297196,-3.94190873835865,-4.72974023265583,NA,NA,NA,NA,NA,NA
Ball St.,8.263742924,8.263742924,0.4320000000000001,-2.8930083028801,-2.98490596668944,-5.87791426956955,0,0,1,1,84.33,NA
Baylor,16.40141296,16.40141296,0.32899999999999996,12.0903827701317,5.92376281311935,18.0141455832509,2,1,0,3,98.99,NA
Bellarmine,5.099343121,5.099343121,0.39,-7.79703218978098,-2.83084866873226,-10.6278808585133,NA,NA,NA,NA,NA,NA
Belmont,13.3632772,13.3632772,0.27699999999999997,5.53800408899244,-1.6866063525588,3.85139773643366,0,0,0,0,0,NA
Bethune-Cookman,5.923342824,5.923342824,0.198,-3.85286446106293,-5.46076522077907,-9.31362968184201,NA,NA,NA,NA,NA,NA
Binghamton,6.991125166,6.991125166,0.3829999999999999,-4.43493708339011,-2.86413593042717,-7.29907301381731,NA,NA,NA,NA,NA,NA
Boise St.,7.055422701,7.055422701,0.38,5.67993551892561,7.31772335864923,12.9976588775749,0,0,2,2,88.2,NA
Boston College,16.11391023,16.11391023,0.163,5.40577078595553,3.35992202955406,8.7656928155096,0,0,3,3,87.68,NA
Boston U.,1.952123761,1.952123761,0.8009999999999999,-7.46242362245938,-0.582301058362152,-8.04472468082146,NA,NA,NA,NA,NA,NA
Bowling Green,7.280430935,7.280430935,0.363,-2.09788522046083,-2.50614184923455,-4.6040270696954,NA,NA,NA,NA,NA,NA
Bradley,7.541916132,7.541916132,0.638,3.78972076647535,5.85072981040498,9.64045057688035,NA,NA,NA,NA,NA,NA
Brown,2.473918676,2.473918676,0.615,-1.06719987987003,-0.524422970804025,-1.59162285067405,0,0,1,1,89.12,NA
Bryant,3.036442317,3.036442317,0.322,3.33354442365773,-4.26218949873914,-0.928645075081413,NA,NA,NA,NA,NA,NA
Bucknell,2.207974672,2.207974672,0.7829999999999999,-6.98386263548976,0.899570528242771,-6.08429210724702,NA,NA,NA,NA,NA,NA
Buffalo,3.627688378,3.627688378,0.385,-6.76676516852534,-7.67543661292083,-14.4422017814462,NA,NA,NA,NA,NA,NA
Butler,8.51553154,8.51553154,0.574,7.4774577443069,2.83339694882828,10.3108546931352,0,0,2,2,89.33,NA
BYU,10.75376463,10.75376463,0.494,12.2514922104415,4.98520293576638,17.2366951462079,0,3,1,4,94.5,NA
Cal Poly,3.269496664,3.269496664,0.243,-9.70700353167881,-2.61513174894781,-12.3221352806267,NA,NA,NA,NA,NA,NA
Cal St. Fullerton,4.590195022,4.590195022,0.513,-5.63733135343407,1.85468282167896,-3.78264853175506,0,0,0,0,0,NA
California,13.98399208,13.98399208,0.05,4.39959850768006,-0.16698514570284,4.23261336197725,0,0,1,1,87.13,NA
California Baptist,5.443079174,5.443079174,0.452,-6.3583892992079,4.382485480185,-1.97590381902286,NA,NA,NA,NA,NA,NA
Campbell,4.929328024,4.929328024,0.481,-4.47155579826233,-4.86188957361478,-9.33344537187717,NA,NA,NA,NA,NA,NA
